,train ratio,test ratio,run_1,run_2,run_3,run_4,run_5,average,std
0,0.0,0.1,0.7482601391888649,0.7681194317360943,0.765129682997118,0.770263788968825,0.7688974482426575,0.764134098226712,0.008113189998017677
1,0.1,0.1,0.7701593433124094,0.7665388302972195,0.7677060671984529,0.769824053988913,0.7601723312589757,0.7668801252111941,0.0036114581568574174
2,0.2,0.1,0.7579908675799087,0.7622677465459742,0.7743330930064888,0.7704878634943523,0.7596638655462186,0.7649486872345885,0.006360465123388177
3,0.3,0.1,0.7463681829006906,0.753934191702432,0.7684964200477327,0.7419126328217237,0.7558305568776774,0.7533083968700514,0.009115469998938664
4,0.4,0.1,0.7323809523809525,0.7370160528800755,0.7574387050702214,0.736202057998129,0.7346263008514665,0.739532813836169,0.009091446012512352
5,0.5,0.1,0.7009021512838307,0.6993464052287581,0.7289283212701377,0.7201866977829638,0.6928735632183908,0.7084474277568162,0.01370826411054338
6,0.0,0.2,0.733206288708909,0.7412852738913921,0.7449856733524356,0.749462622402675,0.7493453939538205,0.7436570504618465,0.006044351104048025
7,0.1,0.2,0.7552752849866603,0.7588192944564434,0.7570048309178744,0.7570703408266859,0.7540351722476512,0.7564409846870631,0.0016442115658733855
8,0.2,0.2,0.7486835806606031,0.751796837565884,0.7581541435129258,0.7584541062801932,0.7479051951161121,0.7529987726271437,0.004524346929591757
9,0.3,0.2,0.7387258410880458,0.7482151356496908,0.7628420547287567,0.74839017409969,0.7490458015267176,0.7494438014185801,0.007709293345349333
10,0.4,0.2,0.7299096528768426,0.7323543344386547,0.7475566150178784,0.7404942965779467,0.7380725190839695,0.7376774835990584,0.006234786878404026
11,0.5,0.2,0.7121034077555817,0.708801498127341,0.7361671811921159,0.7266698247276171,0.7077210170282249,0.7182925857661762,0.01122340437527059
12,0.0,0.3,0.7068273092369478,0.7283511269276394,0.6966398485565547,0.7249701314217443,0.7294285036755987,0.7172433839636969,0.013149616012746664
13,0.1,0.3,0.7420374422562606,0.7444336882865441,0.7481212121212121,0.7414043583535108,0.7393939393939394,0.7430781280822935,0.002990920208759665
14,0.2,0.3,0.7292817679558011,0.7453147525228256,0.7363636363636363,0.752542372881356,0.7456813819577734,0.7418367823362786,0.0081125902733813
15,0.3,0.3,0.7250119560019129,0.7495806374311048,0.7378780604896784,0.7404580152671756,0.7510204081632653,0.7407898154706274,0.009375210242357908
16,0.4,0.3,0.7287973167225682,0.7358083832335329,0.7380091588334539,0.7344901354884715,0.7409014220294046,0.7356012832614862,0.004036355687099015
17,0.5,0.3,0.714555765595463,0.7177914110429446,0.7305848513902204,0.7362899380066762,0.7184466019417477,0.7235337135954103,0.00838923237611902
18,0.0,0.4,0.6723004694835681,0.7016548463356974,0.6827667057444314,0.6925429310750413,0.6942226397369656,0.6886975184751407,0.010170980912243194
19,0.1,0.4,0.7121504339440694,0.7317073170731706,0.7318475916606757,0.7278928136419002,0.7268754552075746,0.7260947223054781,0.007250966557210852
20,0.2,0.4,0.711357607909332,0.74909266876361,0.729106628242075,0.7362530413625304,0.7330143540669857,0.7317648600689066,0.012210488097414887
21,0.3,0.4,0.712791250594389,0.7470403479101233,0.7365125240847784,0.7257909875359541,0.7308149204086481,0.7305900061067786,0.011362806238977462
22,0.4,0.4,0.7140464225891361,0.7334620956059875,0.7379343629343629,0.7247904191616766,0.7324011571841852,0.7285268914950697,0.008384651434154154
23,0.5,0.4,0.7033697199810157,0.7180575200377182,0.7264423076923077,0.7274898495342726,0.7170801526717556,0.7184879099834139,0.008660647131607026
24,0.0,0.5,0.6410256410256411,0.6776548151636449,0.6579804560260586,0.6643372932681109,0.6741415557112823,0.6630279522389475,0.013028818763304273
25,0.1,0.5,0.6851043182920912,0.7065721964329342,0.710172744721689,0.7023751817741154,0.7141811081278985,0.7036811098697456,0.010075239962388969
26,0.2,0.5,0.693179079296216,0.7255139056831922,0.708563204605421,0.705199516324063,0.7152761176189337,0.7095463647055652,0.010728859768175092
27,0.3,0.5,0.6993073799856699,0.7377409124176629,0.7148067104303427,0.7085714285714285,0.7124136287824636,0.7145680120375136,0.01273206628986974
28,0.4,0.5,0.7038193610377131,0.7271407837445573,0.7171449240414758,0.7154159673939104,0.7212484993997599,0.7169539071234833,0.007708878323938131
29,0.5,0.5,0.6992606725494872,0.7067776456599287,0.7071048815853069,0.7171717171717172,0.7157142857142856,0.7092058405361452,0.006557920011144545
